EQP_ID,SR_CODE,CNTRWK_NM,DIA_CODE,PIPE_PRESS,PLINE_LT,COMPET_DE,QLTY_GRADE,MIN_DPH,MAX_DPH,AVG_DPH,coordinates
30106771,S,분당지사 '97 추가사용자 열배관공사,50,16,30.36,19980930,B,0.9,1.5,1.05,"[[127.1159946, 37.3797697, 36.9904], [127.1159205, 37.3797156, 37.0], [127.1157644, 37.3798459, 37.0], [127.1157761, 37.3798552, 37.0]]"
30107052,S,2016년 분당사업소 열배관 추가 및 개선공사,200,16,3.11,20180407,A,0.8,0.8,0.8,"[[127.1211555, 37.3868646, 33.383], [127.1211752, 37.3868788, 33.297], [127.1211817, 37.3868832, 33.288]]"
30108433,R,분당지점 '96 추가사용자 열배관공사,80,16,3.14,19970731,A,0.8,0.8,0.8,"[[127.1099842, 37.3384596, 54.36], [127.1099838, 37.3384313, 54.36]]"
30103775,R,성남 분당지구 지역난방 열배관공사(제1공구),50,16,34.19,19931231,A,0.76,3.05,1.67,"[[127.1530772, 37.4070862, 74.39], [127.1528275, 37.4070093, 74.39], [127.1528514, 37.4069166, 74.39]]"
30103777,R,성남 분당지구 지역난방 열배관공사(제1공구),50,16,7.12,19931231,A,1.48,3.4,2.44,"[[127.1531442, 37.407038, 74.39], [127.1531181, 37.4070987, 74.39]]"
30103063,R,2003년 분당지사 열배관공사,65,16,2.15,20040531,B,1.0,1.0,1.0,"[[127.105831, 37.3695495, 40.202], [127.1058187, 37.3695511, 42.05]]"
30103064,R,2003년 분당지사 열배관공사,65,16,0.92,20040531,B,1.0,1.0,1.0,"[[127.1058187, 37.3695511, 42.05], [127.1058084, 37.3695508, 42.05]]"
30102343,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),100,16,5.51,19951231,B,1.5,1.5,1.5,"[[127.105894, 37.3673624, 43.29], [127.1058319, 37.3673616, 43.29]]"
30106842,R,성남 분당지구 지역난방 열배관공사(제1공구),32,16,8.38,19931231,B,1.5,1.5,1.5,"[[127.1194526, 37.3714789, 46.31], [127.1194218, 37.3714563, 46.31], [127.119455, 37.3714235, 46.31]]"
30107062,R,2014년 분당사업소 열배관시설 유지보수공사,125,16,0.5,20160804,A,3.84,3.85,3.84,"[[127.120451, 37.4079444, 29.803], [127.1204511, 37.4079399, 29.798]]"
